RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2698.593250665864,2712.1376782338607,2733.2767665715737,2761.1082168577145,2784.693296991528,2806.9771674181716,2819.364380921831,2831.2068694732507,2837.287206206669,2835.433073857951,2821.8698065696644,2805.752573405068,2797.6687948804197,2799.88974066584,2810.0401709174434,2822.834640225184,2839.3438260582025,2855.736996455173,2872.699181092211,2881.148025167123,2882.291133015842,2872.216629674818,2859.007414815141,2839.6104770214884,2830.4910542557054,2828.6765077494765,2840.9623614468455,2858.3593298427368,2880.927219004102,2901.4762056977183,2915.495835199693,2920.0136053002566,2911.72609782492,2890.3803334485788,2864.0933967788133,2844.7139013203205,2842.0298764903805,2850.78198447587,2869.102993710632,2892.858190952426,2917.2860176221707,2939.8862934417857,2955.4572686642096,2966.360064231321,2967.8577148763165,2955.472422055355,2937.5160597089307,2920.9080036392493,2917.389490280113,2926.908017634535,2945.1792726659273,2969.2371419144292,2996.6794798281867,3024.3490064580897,3045.6099972061475,3058.633322018298,3061.020580953877,3055.7410715257815,3037.349711264512,3024.2627071802312,3020.4264744934653,3039.862844380171,3055.0052940369173,3043.99045711821,3013.239906855284,2971.107155847159,2930.029747089224,2862.2816195694,,2717.756185375878,2668.123646205272,2641.5155226340307,2631.841052194668,2646.2872863387,2675.7673629756737,2718.6113841408664,2779.343623677041,2855.061175458386,2940.639144932203,3019.2199619774055,3083.951596373131,3121.9531940575935,3150.94522309783,3169.5616624000786,3198.7154412754494,3235.821538655356,3283.91974237829,3335.453102421576,3398.2875094763335,3463.8021465716124,3522.1471070161856,3556.654643475637,3562.874525623746,3541.1896079166236,3498.969073040359,3467.6444905251096,3461.5806650866166,3475.6515155129373,3500.2814654999493,3535.7715860157314,3580.8643100884697,3625.2461397240686,3657.1331516776495,3669.0799636895445,3665.8254678956396,3642.3016185110137,3603.6706423764217,3572.568436847667,3565.8368232679654,3588.218702256856,3628.560876958534,3672.066637865629,3719.0445878877363,3756.16088915149
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1865.4751394770324,1879.9856061382288,1896.9280796482294,1909.7739220313554,1931.8747205469444,1943.1644231061014,1958.9476696511724,1966.842070664345,1984.6802030853783,1995.9401004311387,2000.9043035874333,2005.4924105967116,2017.9587002864066,2039.3653966484064,2058.972513762266,2064.8654177134677,2083.403392902804,2099.434429824581,2116.163951446029,2113.654523617318,2112.3498933150377,2117.997968819551,2120.5890872165087,2125.897806064239,2139.7223286624203,2155.505975263774,2181.2654060015616,2192.4733794085437,2209.3270811290945,2216.9950948846813,2229.974842099185,2238.5039971950187,2240.9538394637443,2246.0932623844983,2251.171027751494,2259.304006297449,2269.333249507667,2282.651231680817,2292.906955327933,2300.85344743041,2309.0887227847475,2324.565385750963,2339.027114586495,2352.941688123434,2358.9675015324497,2361.4954535948727,2362.6652808733493,2366.9174974413922,2372.9260020491856,2375.643702690371,2388.909221064012,2399.9143942197065,2414.379350630787,2425.289360295441,2436.502017831682,2444.6116142315836,2447.3573966949793,2446.5502890346334,2444.0612596574897,2444.6963071959663,2446.927120964688,2453.9861391229424,2451.321792079243,2439.7510784918572,2422.1687207704877,2411.1979706917177,2407.511442981231,2402.128784990132,2390.13476409055,2378.2850018335903,2370.9385920180143,2366.052075132443,2368.472401444127,2370.712722037985,2380.412637261008,2389.010330958457,2408.1239646885115,2439.548878151753,2482.5821116731518,2532.308248579712,2569.9806736502223,2594.1101826084832,2609.363343087676,2628.6685484742798,2650.4631488305317,2672.663507043046,2691.8062039962947,2715.7473680553617,2742.4510587273585,2766.215326943498,2789.4698614667313,2805.6611924967024,2817.1962151844,2812.0390724707777,2805.3786813632178,2797.3105855448403,2795.526316077873,2800.3310609294463,2813.5191163196805,2825.914474036524,2829.9941528996137,2830.9963342246697,2833.3864058704285,2841.1162008453093,2843.447269812974,2838.3147626254795,2820.8727758951645,2807.4572126928215,2810.2264388845274,2817.7106477157736,2833.6422478631516,2841.959782385534,2858.1639101968667,2869.8243019914876
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1230.3429876042803,1233.881667691413,1238.9709436253224,1250.0607695078281,1260.414326215814,1269.206364416345,1269.320084076557,1269.982867166494,1266.1003572075895,1263.2873744010462,1261.13877337321,1259.9464323969978,1260.6413424385403,1260.5643887496747,1267.0629019495907,1272.8619152645513,1276.7963355434547,1276.8387885981545,1276.4026954403969,1274.3662125711508,1269.8975103757539,1266.1978952493596,1261.6401409746384,1259.2810867074704,1259.353222217266,1267.108017689782,1275.2267025504145,1279.0135772630158,1286.0606876850975,1286.8968728530938,1286.7969717217584,1280.231666110086,1286.7751096422046,1296.8277291472498,1310.860086842014,1319.9749040597346,1322.226352610273,1327.999158238103,1326.648041786746,1334.749562791754,1336.4747453712857,1343.174785041613,1341.9125943248566,1339.5114092020842,1334.9628937473194,1337.421711494603,1340.1360516092095,1340.744043624669,1339.5941356925148,1336.3597387699358,1341.7176357368426,1346.2730503089547,1355.7917089335772,1362.818733160778,1366.9510618109582,1368.0638552929097,1364.3571589103767,1362.721109384818,1360.604171596158,1364.0423489177213,1366.4812008098083,1373.7912120974943,1379.5433313568008,1374.9436513503679,1366.2573331504161,1356.3308251761116,1359.0463246577374,1361.1870469186965,1360.5231423701314,1360.8411006230162,1360.718597847768,1358.1605418976942,1358.2446165757287,1357.997013868514,1366.4573245200584,1378.6468187568178,1399.401343153144,1428.0091482132107,1454.453307112997,1477.8118141625248,1491.410941585575,1498.1095867362544,1502.4280196182744,1502.2936179098895,1508.2820981708876,1517.037218830819,1528.5646036208818,1539.0099690368925,1550.4890579670912,1565.2367435142135,1577.1225600236503,1583.372062541636,1582.4592119968447,1576.9158303853533,1573.4127258935425,1571.2073915678297,1576.9135069110616,1583.3575370279204,1593.8572067404646,1598.9630067095027,1607.6858665465309,1614.9958393800575,1622.183720537118,1622.067604727875,1619.733137405153,1617.5367441641188,1616.3799350342138,1617.7526747973798,1617.8592267105064,1619.8352848066636,1619.7265975179678,1626.691168345303,1636.0567545113731,1646.1909287410815
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1558.538791036274,1567.1393261054998,1578.670689819766,1590.3184844678742,1604.2838065521403,1616.7730504092942,1623.2699229297941,1626.297285003799,1620.234024144966,1610.602431145267,1600.363604901184,1598.536588396411,1609.31930500877,1621.2137222155652,1635.6898857940885,1643.5228382261512,1653.4341517656926,1664.601040936664,1673.6952484966846,1678.8452637921143,1669.1851960293047,1654.4715467631595,1636.7893704479318,1629.2161628605,1637.1684217754541,1656.3745777510608,1679.0886431561642,1693.9825095849578,1706.5711603586888,1712.5385071923365,1715.0541494607085,1707.8106498010045,1698.4672134979173,1683.2161205179239,1673.0488789449498,1669.9362364460844,1679.3788769924097,1694.261210777733,1709.0839545080844,1722.442397211464,1734.2060395589895,1745.1906167238876,1750.047751701283,1746.058065668303,1730.8724350336759,1715.2527793268225,1704.5740437165125,1706.933626024644,1718.7793837005343,1732.9958413108632,1750.9420794906007,1765.4401117764423,1779.0598646233514,1787.667005804643,1792.7191977469465,1794.7069796915603,1788.2587529347272,1778.2343482054412,1767.2775850226358,1761.203427282293,1770.8754069703286,1785.399675403384,1802.7935062682116,1803.5273903070458,1800.4607259963161,1794.253254698399,1789.9684868415998,1777.1106144446408,1752.3434068234699,1716.8764938586457,1685.0496845443915,1670.7287870050743,1672.108850216069,1689.3179458564975,1713.297513305998,1746.9761840702768,1779.8856607976993,1809.4838979518731,1829.0984147118547,1841.130507234798,1842.7329803145801,1840.679728632862,1836.5147488813632,1842.410257377235,1857.4930112640068,1877.8273996976384,1902.5684605163049,1928.637450184075,1957.0411606469793,1979.1739779963589,1997.0873600586517,2004.1830510034436,2002.7200061021042,1997.2300419559817,1991.0878164989876,1991.351594524581,2000.6543567130432,2016.6345804091438,2037.579371992682,2057.0612774330157,2082.680572870884,2103.80853972411,2115.853123988273,2119.3756736203195,2110.1199462996037,2095.06705667192,2080.056488402403,2081.5195805391368,2092.979027360907,2114.0349866178112,2132.070927949098,2158.8393972462372,2179.665482297942,2199.545885870963
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1002.5428422998112,1006.3015200799541,1014.173016438575,1022.1541349861919,1031.7031840452976,1039.0362615433598,1041.3750537917304,1039.4456261059886,1039.0878951525265,1043.2825535265733,1045.5215108373927,1046.2439234281787,1046.1560762041956,1049.4179043795596,1056.1505188820704,1064.1686418389295,1070.7413753435765,1075.1245526907403,1077.4551866507502,1080.9370023841157,1082.3924065014864,1081.224193669092,1081.3194165825016,1079.4382932966876,1084.182040241719,1088.6360405249313,1096.848153906865,1102.5170378099858,1107.8700913054079,1115.795434571621,1119.4938962330484,1118.620619824832,1115.2370544874213,1112.065910561443,1110.5237076030658,1109.7164653199445,1110.8503503188954,1114.3426844960559,1120.8723655751364,1126.429338230479,1132.8303556080427,1138.251755564612,1145.5795573600672,1150.8887430748666,1151.0043405362135,1150.2134225150664,1149.4283554578071,1148.0048421990373,1149.1636345261672,1152.06765153,1159.94671974485,1166.4154156204497,1171.6292547283906,1176.7542146616458,1182.5668686121605,1191.692690189853,1194.4941057286196,1193.937754885596,1184.723215163061,1182.4387703207221,1181.8953977277029,1188.5598724658498,1192.8481359795003,1193.6308646174903,1190.9032708260943,1190.96178967684,1197.0880091720003,1203.248282088623,1206.9510058183382,1207.1854628890035,1207.5130819964877,1210.0592077255362,1211.4709763700218,1215.194964713702,1221.9528375125608,1236.8027373835596,1254.4088622013323,1274.9303354843657,1299.9655893150216,1328.088894600547,1349.5386354496302,1360.7338562109062,1365.4629589313802,1371.1882789560364,1376.7636335177535,1387.1018725541608,1399.3293739036146,1412.7063493501732,1427.0445562195268,1438.5757303022594,1452.6195290355242,1455.4205908131187,1454.2288404512353,1442.8106440576964,1435.462724092704,1431.8325356404337,1438.2251488367067,1442.2444273856513,1451.6610525151586,1454.7797415137445,1459.960922857506,1457.303014398186,1457.1411165505845,1456.453060984697,1454.0037027650264,1446.4884319931832,1440.2133703304528,1436.1878390392985,1434.078309694801,1434.7669859910789,1439.7025308658956,1448.6459705164316,1453.4923569810699,1454.7135964848683
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1273.6189748942709,1282.524966284299,1302.6612686296285,1310.9386546811984,1319.824016012824,1322.2453021443582,1325.582422151393,1323.5996948281747,1318.2883504200383,1316.778724625349,1312.16214897095,1310.563923817636,1309.4298682173662,1322.7100526835716,1337.2721569066573,1350.6566086412297,1357.1466658238742,1363.052693350218,1364.0608702931636,1363.1795716194056,1358.8077226927774,1353.8178821720976,1357.402288144002,1356.8635451347252,1363.31049584747,1369.8553441339782,1384.7694707105907,1395.6477056428098,1400.0178285141278,1400.8597679004267,1400.1732022062483,1399.0534289452926,1396.5743340379934,1395.0736246868544,1394.288644471899,1396.8512357382076,1400.9348002387624,1410.2366106576858,1424.4715449871933,1435.8525753988527,1445.152204490795,1447.405811452504,1444.9535970899813,1443.7557032174761,1442.0061221204712,1446.525641917918,1451.8091026274233,1449.7578923105823,1454.9035039282917,1460.7587468017468,1477.9480875163613,1486.6276098892079,1493.0394018585557,1500.2780029247815,1505.7104395999152,1505.2349976446433,1501.1088781283038,1499.2258928308536,1498.7321440250266,1500.9182695567633,1504.6278758599103,1514.2074923643165,1523.0782519233555,1526.1962196202815,1525.1672377661916,1525.0020022496014,1527.655040031953,1524.0362768005632,1517.4285819806921,1510.8969931889433,1509.8658945050638,1510.5053874585167,1514.7637150441942,1519.443609969671,1528.0142848204448,1542.10103031928,1562.6075727053094,1579.916462955893,1594.3771273904856,1606.7877357881928,1608.2185466976416,1616.5693419776594,1624.7503918289676,1645.0308988194108,1654.1972435142256,1661.1092719628612,1670.3973762714697,1685.03054527781,1701.3578726752016,1714.9361149965562,1720.4154374061168,1722.4553298447315,1722.3416295162801,1718.3524915297037,1716.1866537103072,1711.9935561383054,1717.3443391719852,1722.865999540253,1733.0034794173944,1742.289652274726,1750.2354164272163,1753.633337047766,1756.1355462587587,1758.6245615104233,1765.3926069745653,1772.2601567157947,1775.9430209679335,1772.7776217627843,1773.9922924381997,1778.540545832089,1790.9854058063834,1797.8680198110947,1805.5968439317046,1810.2144065753575
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,868.5269694356194,881.1732099547582,888.9562893930125,903.7791434072236,907.0955511672729,914.4509506506021,912.368613614094,915.7660921974888,919.8447174752597,921.7031801886645,924.3404765586707,923.5014150256538,931.8057906241563,936.7994237875267,946.6481579742396,953.5581218428144,963.7338614186516,971.6550695088956,973.8527097046559,974.0515501981647,974.2187928505056,975.0070101870674,976.4999875887432,976.8761219785557,981.9975230170252,990.9178521427265,1003.6355307067439,1016.91833403099,1029.0158501782878,1035.9981020954606,1039.5125055440778,1039.3161522302125,1040.6386512510703,1044.5123503266445,1046.3625385596033,1047.3417504882839,1049.0353790733998,1055.9003452358115,1068.2142390161798,1080.5191405298426,1092.9079728720449,1101.349972251223,1109.9475745141797,1115.6169431210421,1123.3616574402329,1128.7804930619236,1133.8719642278716,1138.5182003423263,1141.8399318634595,1151.5912077264156,1160.2428499234536,1174.7511985606272,1185.3732663700112,1198.5336237489691,1205.813396338965,1211.536447301316,1214.407218350671,1217.2501324869343,1223.6598041026016,1233.6018391820303,1242.1174094081764,1251.4324932241059,1256.2498800335152,1259.3041686075671,1259.8611470052222,1263.499835691965,1273.5319339096254,1286.9362896621524,1298.6808258718363,1309.1729926469934,1315.1207499203706,1326.5634962603776,1336.9038014203704,1350.8269803468963,1369.4691945253185,1399.1264373475153,1440.4299485523152,1482.0685877994051,,1572.9980367430826,1609.0956411495183,1627.0104562536067,1638.0007473939895,1648.2839140269912,1659.5373228308817,1672.366019413259,1685.6442948986867,1697.3988988599938,1707.4161532285623,1715.2518328409092,1725.553229632559,1726.423186334026,1721.171383910219,1712.2333606038758,1708.134122935797,1705.807629423059,1698.5536899444776,1698.4663229570353,1706.625918219485,1716.5507813488325,1722.7082151996017,1721.8457537213308,1724.922169711788,1722.571531480818,1724.4773906250489,1720.481216061669,1712.1230880588105,1701.1904563370197,1697.8602470833182,1707.7108315396247,1719.2089662387687,1729.7383728317182,1737.1428908217645,1738.7343974759217
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,989.5356551206751,994.891304813408,1000.3253620766156,1007.453178971137,1014.1380180653291,1020.5084619990489,1026.9076902887666,1030.6247129346623,1035.3668397095246,1034.77706791935,1034.8259117941536,1033.2106893939706,1035.575351184749,1038.7051930887958,1043.369223771841,1049.0919107446412,1056.1946919939433,1065.9814455435892,1071.3120318597628,1074.994559501273,1075.247307227109,1077.5071892546462,1077.8074923644267,1077.8918043718054,1081.6513827593249,1090.1019103138215,1101.3849159396907,1110.3943439650477,1117.4921737690079,1125.1063582119089,1132.6644986731637,1138.9841562297863,1142.5051400910918,1143.7132747408968,1146.0342895104777,1149.5682155404447,1153.8545412290482,1161.754849715464,1171.4546352632294,1185.97208957756,1197.10812411301,1206.3037780688692,1215.0945069815687,1221.4929429086098,1227.1710653737402,1228.1679098585435,1230.4934866986362,1232.3762501357699,1237.433003394483,1242.2957984237964,1254.3825343600593,1264.6647003997264,1277.2776514211885,1284.1641208711062,1291.8462828886038,1297.3373488462519,1299.033062216167,1300.0611996536986,1299.3401556497656,1298.1277999473436,1297.9914139127125,1304.8730889972478,1312.9793577447672,1308.7349127199507,1303.9501612427632,1304.8290841777975,1322.3209629088244,1339.1324311508067,1356.2757784826804,1368.7640832748277,1377.40366971111,1383.3131192659546,1392.7858649815187,1405.7860000094845,1422.9069523063527,1436.2301440818524,1474.168133259734,1525.116246842896,1588.1527728965434,1640.3569816766592,1678.2712656189046,1703.3038971899023,1710.840962280525,1712.4509545384024,1716.4106696623899,1722.7840504909661,1731.4500715332488,1743.1502663714762,1755.747934395166,1771.0791573807453,1784.9829921264245,1778.4720586545066,1764.2223518436522,1738.0411691065326,1721.622001743187,1706.8629638500843,1705.1364877693036,1709.7179472264058,1721.2866637471623,1728.172706208975,1738.5755705773056,1744.3628971615642,1751.8171316134362,1751.1179693293523,1746.7947457752277,1749.0179667068596,1747.9869482302884,1746.4347927142362,1739.982363954062,1737.0851798754645,1747.5871420989856,1760.169289276683,1780.1828564679545,1792.3363803948116
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1752.2265753995869,1764.8078326305106,1774.320375094488,1777.1645326951552,1791.6425262592477,1798.3048498502003,1818.6666498898487,1831.5231333700608,1841.475464883885,1846.0586967686531,1846.6267357876234,1853.2671897969346,1860.131789885516,1867.1845591481424,1878.5296680488632,1884.327213241935,1895.385521221957,1911.2589706646486,1926.5315714770343,1935.1421663836638,1936.4096488164193,1942.6437810015684,1944.254943831569,1947.6432362149187,1949.1520435224456,1968.4586757420836,1987.7987272621729,2008.6287248120707,2023.1674717872183,2035.984000506491,2052.468971680718,2059.539419251679,2062.7297767185405,2059.5125454840604,2059.8551800816936,2061.2232776173596,2071.2949658230464,2085.80215874208,2102.177260177367,2113.338243944616,2129.573229447823,2139.2157205894227,2153.3330669786774,2161.147143691232,2168.8680748218158,2170.3026659040383,2161.705574170263,2167.601586520791,2170.3977946529617,2180.9859945359594,2186.09248966369,2196.713793316405,2209.0976603633276,2220.3714572987683,2233.1461743492937,2243.4812717059885,2245.6891017155845,2243.990082345158,2241.8630118974415,2250.9120244080195,2256.882231377725,2263.845945604717,2262.540916941018,2250.8043669878066,2240.8425906497378,2235.0804125150853,2245.4408134822515,2251.1982002771847,2260.335645311609,2273.573793088738,2289.7762362845056,2300.1911037342225,2311.35229692276,2320.370512226398,2341.634934532972,2368.0510974968734,2408.1261777639866,2445.9157538686873,2502.5290176071376,2558.8806715795995,2621.8491888356084,2659.2448056670296,2686.9367295231873,2702.3272290055907,2717.1857961057976,2743.2670355600253,2779.502946391393,2828.2264740820997,2872.4928426269944,2917.6819952623805,2953.0461228714644,2987.7261123675607,2998.490298536097,2991.8618430561705,2968.3792684408527,2951.477993542471,2948.8004161398394,2959.0748687935043,2985.6271918631355,3012.37206853551,3046.748629094833,3072.8138993069174,3095.7425329747703,3099.6887264992606,3094.9205613674503,3079.739785315793,3058.910965640535,3038.161834939723,3022.3463056128367,3030.7993769304826,3051.8330832373586,3080.5347794292,3100.0351160204846,3115.7646782659267
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1112.3780783975155,1116.3055458639697,1127.5655119761323,1139.5546874935,1156.5182219526748,1166.1389556420143,1179.204477191473,1181.3481838556665,1185.0033840455164,1187.9651884051516,1196.5911244813651,1200.580592710154,1200.5472200718723,1203.3313672066845,1207.7937260259278,1219.872581273291,1226.751801603572,1237.957363028725,1242.5035713893697,1246.6104317477984,1247.1332707836652,1254.849772666647,1260.2873703854452,1265.7340608795225,1268.493839358904,1271.205329334268,1287.2077044831326,1296.3480283064123,1310.364566340008,1312.0609179483295,1316.1263867088037,1314.8499935625023,1314.2827410917594,1311.0473339695707,1319.2715995545389,1319.603413916196,1325.4588936996777,1333.5020911928505,1339.0467348932727,1341.8748232432013,1341.1514216876592,1355.706505519166,1362.7244182438087,1366.4367378944894,1356.6216898109003,1358.53570716877,1356.4469173357054,1360.241901234323,1365.837616999962,1372.199318535763,1383.701673003691,1389.8492961164043,1397.6183908632925,1409.9647280189838,1415.83059325518,1420.7011411945505,1420.016260276691,1416.449254100449,1408.8319322798332,1398.1293980968378,1401.8728310036763,1410.5245135238504,1418.4859874301596,1415.0055218290393,1409.9892660563103,1407.5321569969306,1409.3524869859518,1411.5506406780537,1413.4151083481725,1413.5109833288116,1411.8291606666921,1411.9231170243547,1412.8550967177548,1421.1123868475845,1429.6686553805207,1451.2494586635655,1478.133274761694,1514.0544562126752,1549.337958663058,1578.309377987418,1602.4478730365588,1614.3519609935477,1625.729401144937,1633.5528241038455,1645.867622380422,1661.8968330232944,1671.2689852094652,1694.5236790754943,1718.3464685427045,1759.7546540394753,1781.641937127975,1791.8849650706986,1787.2653597950066,1768.7608705561001,1756.0864621563499,1740.6008149823142,1740.192053853754,1739.6747247813694,1747.1727323104587,1756.096452969698,1765.560026009686,1771.5191049371729,1776.1054089644354,1779.497778308933,1779.8641206651814,1773.5324617798387,1761.3902263504708,1751.1663117747507,1745.3079579167504,1741.5013290949587,1737.1718932610775,1735.7395129733973,1744.8595849325936,1760.0127898641406
