RegionID,SizeRank,RegionName,RegionType,StateName,01/31/15,02/28/15,03/31/15,04/30/15,05/31/15,06/30/15,07/31/15,08/31/15,09/30/15,10/31/15,11/30/15,12/31/15,01/31/16,02/29/16,03/31/16,04/30/16,05/31/16,06/30/16,07/31/16,08/31/16,09/30/16,10/31/16,11/30/16,12/31/16,01/31/17,02/28/17,03/31/17,04/30/17,05/31/17,06/30/17,07/31/17,08/31/17,09/30/17,10/31/17,11/30/17,12/31/17,01/31/18,02/28/18,03/31/18,04/30/18,05/31/18,06/30/18,07/31/18,08/31/18,09/30/18,10/31/18,11/30/18,12/31/18,01/31/19,02/28/19,03/31/19,04/30/19,05/31/19,06/30/19,07/31/19,08/31/19,09/30/19,10/31/19,11/30/19,12/31/19,01/31/20,02/29/20,03/31/20,04/30/20,05/31/20,06/30/20,07/31/20,08/31/20,09/30/20,10/31/20,11/30/20,12/31/20,01/31/21,02/28/21,03/31/21,04/30/21,05/31/21,06/30/21,07/31/21,08/31/21,09/30/21,10/31/21,11/30/21,12/31/21,01/31/22,02/28/22,03/31/22,04/30/22,05/31/22,06/30/22,07/31/22,08/31/22,09/30/22,10/31/22,11/30/22,12/31/22,01/31/23,02/28/23,03/31/23,04/30/23,05/31/23,06/30/23,07/31/23,08/31/23,09/30/23,10/31/23,11/30/23,12/31/23,01/31/24
102001,0,United States,country,,1224.1469882567937,1229.682977081937,1237.0077679171782,1241.3908052322847,1246.0637375539309,1249.849042842256,1255.7623014916437,1261.3009974699148,1266.8346522324073,1273.2524836790458,1278.5737104633724,1282.863358818294,1285.6723629075034,1288.8403316266638,1291.2786260448695,1296.4485998872929,1301.1782542593114,1306.879415,1309.9179859114615,1313.884307480207,1318.3381589615858,1321.0272921572237,1323.1540423380145,1324.5324645000692,1329.5556282112766,1333.5143673639266,1338.7232488941413,1340.8149720528888,1344.5474996936346,1346.9015695378805,1349.6486449708036,1351.5455458063423,1354.1055303922612,1357.754312336654,1362.2793464436231,1368.053835965704,1371.8271272677578,1376.5204049516663,1379.8529903942288,1384.6204415876325,1387.6941818152418,1391.581197419036,1395.622097,1400.396615822275,1404.128398967952,1408.4966491982484,1413.4866441911631,1417.8518243264627,1421.9541356549012,1424.812246163972,1428.912446,1432.9730020969962,1437.6431510542882,1442.1828469642983,1446.9026104456425,1451.2743957960074,1456.0213176776654,1460.0670903366986,1463.3601837020308,1466.7151316329575,1470.5982879752776,1475.2257437354463,1476.5175160206113,1468.0927530102513,1455.3679295379156,1444.338001353843,1438.6877053784644,1433.3286047894499,1428.673870910876,1428.1328773931257,1431.473798745746,1436.4390555704906,1442.9821879653293,1449.9199728284457,1461.542344,1478.5952235148004,1500.9408748387254,1525.662915,1551.6693259961455,1579.5625745163904,1607.1865341017328,1629.5123159770815,1647.8923411046637,1663.7779876929615,1677.0586862374544,1689.5997289691775,1700.2195881054763,1713.9618309797088,1728.1322522016524,1742.7162769325867,1753.9195016709632,1761.2853042122629,1765.7257814522036,1767.0880786602215,1769.2731854908118,1772.7273207846274,1778.3669661238516,1785.4782224266444,1792.3593075188112,1795.5100245804113,1796.1641353262128,1794.7943061417102,1794.165275048583,1795.4173354047393,1798.8550920911014,1806.3474195502663,1814.1114803526432,1821.4162748529168,1827.5799367851766
394913,1,"New York, NY",msa,NY,2250.274177547064,2266.010201155402,2277.5838981345078,2289.3606078796265,2295.0382910049234,2301.267385487536,2306.276696026186,2312.9374156014273,2319.8660746014243,2328.2057039351207,2333.996931778681,2338.6300862791627,2340.779529663001,2343.1854355182695,2344.699401251382,2346.845758156152,2349.6694345321453,2353.7076711785176,2358.0581232966306,2361.942115621649,2366.203045448827,2369.9255678972227,2374.867357766728,2374.1645464998705,2377.911480965173,2376.234477543224,2381.431334724416,2380.4377241430734,2385.9525159572813,2388.1545552441976,2391.402585825765,2391.771190908214,2390.8124703875474,2389.2456440969454,2390.2034946844437,2395.455406660069,2399.5512014448204,2404.8073480339267,2409.980691859579,2418.337156768193,2422.4968679902468,2426.152297515029,2430.082217403839,2436.515327140507,2442.678497326382,2448.2291605014925,2454.7514613741623,2461.8041171867335,2468.355833146782,2474.2632151231787,2478.6663057522032,2483.7727919649346,2489.323864598649,2496.920381399751,2504.148959903156,2511.164128636482,2519.2640516502456,2528.4733545696167,2535.870743155166,2542.2537939237463,2549.133868142217,2557.4486446701117,,,,,,,,2293.7429120602433,2279.5814159981423,2278.488177,2279.577360683119,2287.341438438579,2301.1176634683143,2322.551234882677,2352.5038277614135,2390.7275615704143,2438.9954973245044,2497.5137720805205,2558.2908365101853,2610.3099161934347,2659.3822395268917,2697.606661834678,2730.6608820283027,2758.4677892679188,2786.068224933099,2812.126437077477,2842.1249715599934,2874.593252131641,2904.4275032633045,2927.1675084655176,2938.831013777777,2945.800597311553,2946.816874020229,2954.5571526221333,2962.0740325086726,2975.3759165493425,2987.403892192751,3000.3412482589283,3007.8823319379235,3010.1997537928146,3008.926755504352,3009.9809513535834,3018.514712,3032.1229523104894,3048.968666187265,3063.3393607201024,3079.8498114619747
753899,2,"Los Angeles, CA",msa,CA,1697.0517947785042,1707.9327336401325,1719.5180632215827,1733.982655217207,1743.3828554922297,1751.5490187628052,1760.942136686311,1774.0716244319588,1789.3483024923528,1801.3295399995402,1816.4812567494905,1829.0218211699682,1839.2481640216681,1847.4735328639447,1851.9392583843032,1862.273867006316,1873.3605642173784,1884.5105841313193,1892.739331759787,1896.4685792911207,1904.3003273622908,1913.853374348878,1926.2238467574791,1938.3098645986079,1955.1884361899054,1970.2179161621293,1988.102900667047,1997.0506112898086,2006.7216064039478,2014.7522170042973,2023.9505226596375,2031.8995261080693,2038.6730025117927,2043.7474430259335,2050.8700736813253,2059.5074052663854,2068.8562725021816,2078.169396987463,2082.6893603291805,2088.3167823092303,2094.5536454869107,2104.0750838665977,2114.3569143965087,2124.596233636417,2132.744741067541,2140.375844273596,2146.0953468329285,2151.9125117304047,2154.794346852129,2160.175291101504,2166.514230168123,2174.953673935099,2182.258219558851,2187.525124379435,2191.8244940395316,2197.2777908219177,2203.5435600692413,2210.433732,2216.7541441215067,2222.1328450751635,2228.204857150922,2232.570897766599,2224.927006795226,,2197.1147254984935,2180.2150881053362,2166.8717249843835,2153.5101886862985,2147.953518493328,2150.1256416509937,2157.6154208103826,2162.2171255859207,2168.0888156351934,2173.4525597976194,2184.0762622413836,2196.711118090417,2217.285854189332,2249.007025969115,2289.458871864438,2334.463619857514,2373.239678698276,2404.813247831806,2428.841863402681,2454.5765137357394,2475.8506018122303,2498.7355076229824,2518.7999003157834,2541.260273972941,2564.689189362541,2581.5266149564623,2592.475458186104,2599.004079,2603.228858950657,2601.911356914482,2603.6126503582423,2607.4656433031446,2610.203781126709,2616.5041597068325,2622.7311629288674,2627.8005335652983,2627.5701321336855,2626.572962,2624.4926465395256,2623.248230362061,2625.2496099323444,2633.16735,2641.0433646414135,2646.551121,2654.2031002638305
394463,3,"Chicago, IL",msa,IL,1368.168848838194,1369.0733927667761,1374.2689010543654,1376.8000068732679,1381.658012325834,1383.8148435511587,1387.2088043359777,1392.0636832476753,1396.4148115605913,1403.3903868006828,1409.9291967281588,1413.8791662645003,1418.6814225155026,1419.058560125486,1423.1709603707534,1423.9808942912332,1428.0681769456075,1432.6705881160574,1438.9162922194562,1445.0178637114773,1447.8549785480898,1446.9558304998386,1442.5005713977346,1438.3091453378288,1440.347459575397,1449.2711973599078,1459.5936555674984,1464.3860583183834,1466.9068263268678,1467.5599617453227,1467.9409958330616,1466.1904613281931,1468.9733645852373,1472.819071055209,1478.082419886397,1482.8754437093899,1484.968607215059,1487.3422959193288,1487.8846719706612,1489.5375799689962,1492.0787372512218,1496.3116790920021,1500.183470610496,1501.9013673603126,1501.0853898486985,1502.658301656804,1507.8590070029122,1517.1986788703855,1520.4068476351918,1521.7810595090532,1523.1180544441584,1527.1026041697837,1530.8476301351145,1534.181015461029,1537.653338969237,1543.848782266125,1550.4858570507452,1555.460064378701,1557.6936974123946,1556.991411936233,1561.1610920630367,1565.3992590568396,1569.6943595136102,1557.6412605036967,1544.324931480289,1533.7395796468595,1528.849356421859,1524.1016645837387,1518.4499246907546,1510.779122519689,1506.8807016033627,1504.1003237981993,1500.6561872895345,1501.7436727176928,1510.248640216886,1529.2429432393665,1547.346605845161,1564.3102940526148,1578.6006538422055,1593.3582205177445,1607.7762315208622,1620.936501634944,1635.1341264920868,1648.849311110111,1663.3932386696026,1674.4928275319944,1685.3077740526635,1695.8622836816573,1707.0129627908766,1716.9370545093536,1729.3186546717984,1738.020900428146,1750.1246300316882,1762.3026367736388,1772.616654063802,1779.7467561190442,1785.147348646077,1795.3250154408954,1802.8118427774634,1807.7745888103475,1813.4884492562899,1820.6701039818765,1826.4427378629216,1835.0064525776424,1841.3703222111246,1848.951704985064,1856.8049923539124,1867.3334291888807,1878.8191015371249
394514,4,"Dallas, TX",msa,TX,1029.1879445645352,1030.2699367714802,1033.6401785726162,1038.625886440406,1044.692146218685,1055.0429151473104,1059.2663025186891,1061.2149688028294,1066.1814946507686,1074.262432445203,1083.544626776908,1094.6183787508003,1093.5843212120037,1096.7510273862058,1103.049567113456,1116.6255083789272,1120.2187373119257,1121.449179292954,1119.6101118773656,1124.7354137041054,1130.8425739574882,1138.9576821216906,1149.0157091666892,1153.1354565055335,1164.4478191910002,1167.7193639100637,1176.5445554356627,1177.5621057550584,1189.374353807771,1192.7213180473668,1198.144053064787,1200.2359397998905,1203.1757896361291,1201.0029009250231,1203.3851182450474,1203.9659662646202,1210.9946200412553,1216.2480906072801,1218.2785035507466,1219.258225905749,1219.0551036033714,1224.045630197634,1228.3373589415892,1230.9698635286495,1230.2263165303275,1237.3280561011813,1240.2336782708114,1248.2242375359272,1247.8389201312878,1250.526309735271,1252.6603090977233,1257.6411694037422,1260.1273343922865,1262.9036798114835,1265.8070336772457,1269.8785083942284,1275.544105481989,1276.8289846528025,1278.4902032409761,1278.0127092626242,1279.4787828115652,1280.7229354089204,1282.8788886249426,1278.4877784992716,1269.195562125445,1259.5156213925552,1253.9018140042203,1253.1882120263886,1256.6656020786281,1263.0440510424257,1270.2882610982306,1277.809342911085,1282.8085543207728,1287.601457471036,1294.2285632943515,1310.7260043530473,1332.896262163598,1357.241624,1383.038348,1410.415181,1436.9323598845695,1457.2668707404705,1477.1900937993787,1495.9228805726173,1513.196077992025,1525.6978010651783,1533.5305310605092,1547.3177774774977,1561.1758555545616,1579.3305606867298,1590.7358219691553,1594.4101022891407,1592.4763454154506,1585.4876502493248,1581.3235897560382,1578.003767237309,1580.6439290941003,1584.6966264697503,1591.4730371314593,1589.0780324273717,1584.1084506919158,1574.4633306465737,1568.0048013602832,1565.0417338154455,1565.3779284742418,1571.6526087126015,1575.371617192071,1578.4485148818987,1577.5050519314766
394692,5,"Houston, TX",msa,TX,1168.3909832634554,1163.4393312317952,1150.8431839589537,1148.9668199392015,1157.2513,1171.913444790536,1186.4112601189652,1194.049820145583,1196.2336285129154,1185.6556854148673,1183.2157834347684,1186.9340107338774,1189.8995742613388,1190.0851102457516,1203.8106716554703,1216.269668273557,1214.6117002701997,1209.1404796562122,1204.6785298168588,1206.2325214172708,1206.0935443984436,1198.0269046998817,1197.2568411720422,1188.6623504253919,1197.2378681734372,1203.9757679246793,1209.6956735728038,1197.221050340628,1200.4863382657215,1196.9658538276196,1199.3686014601951,1192.6249296685496,1202.575403716517,1217.245960969798,1235.6260875524445,1252.641964994096,1254.088342041746,1255.557917017984,1248.2189435738628,1256.2023232669685,1251.3908989465801,1253.7396974246965,1252.2448990524522,1256.6281849290692,1254.6416638804824,1254.6896742266692,1253.1354854500703,1249.1033496707462,1248.2824379334547,1243.5677901061815,1248.0443393212406,1249.5429849403924,1255.503504557281,1259.510108372479,1263.3337087147306,1265.9359453614877,1265.636160015044,1263.658105625582,1259.6353454868702,1259.858183275059,1261.8259307150718,1267.2707331440438,1274.1434766129116,1266.2746768133013,1249.8967187677129,1234.4998016174275,1228.909415082028,1228.6658631241141,1229.8985410492303,1233.323328573021,1238.1026246662373,1238.6631841498227,1238.5816019124309,1234.1111159328852,1239.172399607297,1249.5944018199518,1268.6987910629593,1290.574243240406,1311.912406287299,1331.126432549063,1347.1481422910351,1356.971911164277,1365.0730351303876,1371.3831925585628,1379.2782102442418,1386.920745273935,1392.3903192598873,1400.9095435621807,1406.917420057262,1413.4733343439489,1417.0726447295244,1420.2089661218279,1420.9542339742377,1422.1428502333117,1422.4079992804202,1423.313133231149,1428.3771681430699,1434.6531945902966,1438.5537386864114,1439.1309705566355,1438.4796514426994,1435.993017971977,1434.178813040185,1432.9332297750707,1434.8549429883917,1438.9664246865009,1444.1918202740408,1450.3009562287098,1452.4041551304251
395209,6,"Washington, DC",msa,VA,1716.4614848312588,1709.356426,1703.7640286130568,1704.132866383991,1718.1671751681506,1726.600290305155,1729.977290513418,1729.2266156294008,1733.2657203660438,1747.5484229217366,1752.189881774349,1758.8750001117642,1748.5576646619493,1746.1486736910401,1745.6592962482214,1758.7023050180856,1763.915972043793,1764.409698142612,1760.0509461095442,1763.061783077569,1767.038683066148,1765.8790689859243,1766.8082565472578,1770.9227174079456,1781.0933850272409,1794.9094469599365,1800.890333,1800.2741932450874,1792.3673388418624,1797.070573259609,1799.932224,1802.5287194220857,1798.9445515792256,1804.885056013727,1802.7706878795332,1800.915180729938,1800.206180811911,1805.4930984352497,1816.4395598139813,1821.3345832420823,1825.6652587960414,1827.7125630793619,1833.3018468294995,1840.841704898397,1844.1568670368472,1848.1810497678925,1857.8592820984777,1864.7311800110933,1869.6251888453507,1868.6450885989277,1866.353001087014,1869.0720100127241,1877.1722946992911,1882.1114868618768,1886.417278900838,1887.9347587733057,1895.3736458427377,1898.2379651324634,1900.554697573296,1904.1910461660605,1908.1557803403518,1912.732247,1913.0320389718947,1900.0491987363455,1879.7369297616026,1856.1716714239876,1840.352760720813,1828.7217318346886,1817.3636816134456,1810.8936382320478,1802.4093054595783,1795.7332682040608,1794.7330350669674,1800.2047769068338,1806.2854999962494,1817.4436938956192,1835.7866720035463,1864.464929997328,1892.8930699707753,1921.8783200413336,1947.5099839373295,1969.8334519674836,1987.9199464296687,2001.9121064301114,2008.6794057963514,2014.6645396526337,2023.443113911126,2037.258601,2051.1630730538513,2064.009788110173,2076.2143175755905,2081.593322741152,2083.6397767097537,2080.7752280593813,2079.563514865837,2082.3214389579966,2089.345413309493,2097.8376829699896,2105.78403,2109.6049429374157,2111.5481637189896,2110.304434189974,2109.182944525942,2113.2063945999353,2122.286628709499,2136.707163743418,2153.3128210975246,2169.163217,2184.848688749594
394974,7,"Philadelphia, PA",msa,PA,1261.1603869331896,1261.430551567813,1268.1616032928762,1269.9456388659366,1274.2316218302058,1276.2023756265003,1282.696722127224,1286.2988080374432,1286.6577740911218,1289.6826118190083,1292.755917355548,1292.2015890289974,1290.5700485958052,1296.183959875634,1300.8903983257142,1307.6994177386237,1312.6504815512822,1316.3402830481432,1316.2201607958368,1318.245969904575,1324.6006869840955,1325.0256085501856,1331.0993081079632,1332.5180606487654,1336.6341437924207,1333.014196,1334.5173037260424,1336.7763371333622,1338.9432621622036,1340.4701342303517,1342.2175088743697,1344.5774196054933,1346.6188236162777,1349.4613189992747,1348.8144674639907,1356.2004118975558,1360.523997838796,1367.0878719304847,1366.6919373505339,1368.5714098672224,1372.3723952878174,1375.7018094905677,1379.8248438715282,1382.9216583055286,1386.1709919119148,1391.6891653804935,1397.8370060474438,1399.6519961709387,1404.0555414889393,1406.6547305920399,1413.590907163434,1418.1129580202305,1421.577852694959,1426.0427545815355,1430.4941402618197,1435.0953318889103,1438.9688504160163,1441.8235933732058,1444.794174089848,1448.1950846773468,1450.6451675327787,1454.7180238381077,1458.7168054921722,1456.015036258596,1449.3168631818783,1443.7553314204913,1442.7029706505077,1440.518435012032,1440.8000610259571,1446.069214653371,1450.974081749859,1453.8865436968829,1453.387045,1455.9966452356373,1462.870645205348,1478.1145777600673,1496.3939070817203,1514.292427963237,1530.2406273704887,1548.5224669122154,1565.1322494324888,1580.2172918494032,1591.1403078811318,1607.2233550142853,1619.5805276828617,1633.3007862310324,1639.4100332919957,1647.3565306564792,1652.8730469012091,1663.3107314268773,1670.3850398551467,1673.2745487359214,1674.381008,1672.8222180797552,1675.099947039662,1676.839424631017,1682.5414248422082,1684.8376024954725,1691.2056984924152,1692.8274286577387,1695.5301461708243,1694.3055843137709,1695.7032649114874,1699.272514130016,1704.5312071654773,1711.4595796166304,1717.5055640257672,1721.6104487757937,1725.1944144667607
394856,8,"Miami, FL",msa,FL,1376.7832481192481,1388.6027354064483,1395.4871433037797,1399.2990024825212,1401.5459256387155,1405.1669918330554,1415.3456737143326,1427.2100608009528,1439.760024147067,1446.0618645485506,1452.3437101665618,1453.2554278171824,1461.6879601215887,1467.572796733001,1478.8660600699825,1485.8959824374776,1490.20243,1490.2123784904484,1490.3891374135733,1493.9389486534744,1498.9767981965106,1500.0793275845654,1505.250005932762,1505.9246995198632,1515.6196886524547,1516.572031565473,1524.1440371232552,1525.9733134663334,1529.1931239102537,1532.1986055150576,1534.8052365913104,1539.5242193667796,1542.9693617129178,1547.7895959035066,1548.3494019683474,1554.996780813859,1554.2469589151133,1561.298741434491,1561.7123029936279,1568.9534090299253,1573.3030675764212,1582.04732,1588.5131023344052,1593.898468311369,1596.9319381131038,1601.5952201208004,1607.4352348876196,1609.6509509660204,1614.4987423546759,1618.1532345087771,1622.577563621151,1625.7102962772017,1631.3037452226229,1634.5799233675268,1639.8402859463038,1644.3041675497336,1651.1410211802724,1657.2695620341865,1664.0080042431753,1671.9037331413303,1679.6601424982418,1686.732504908451,1690.6447378908322,1686.8378382891317,1679.2254986487203,1667.654535802633,1661.5406432957864,1659.5909306232807,1660.5203766281563,1668.6186867563963,1679.8740845257787,1693.069392159366,1710.9395867197966,1730.616209438324,1757.4472749879956,1787.837093170066,1831.0670918143387,1884.9888513828982,1949.6742474241112,2017.1127938382876,2077.9254908793323,2124.366286167542,2164.3261942985396,2203.1762329889743,2239.743996469104,2270.8842740994555,2302.802666426522,2333.7298537742063,2360.2330719779475,2378.638910809561,2391.0175416445445,2393.389573807874,2400.438548180082,2401.066943624452,2407.562349316513,2414.049783148676,2422.567987072521,2434.1413508632636,2440.3513274231195,2445.7009182682264,2446.4286277394513,2447.356616732794,2444.7540818784337,2447.087621118031,2448.5470741486715,2460.176245994722,2468.847826695784,2476.196148674465,2480.7269521982444
394347,9,"Atlanta, GA",msa,GA,1015.0670983993513,1022.5440237736321,1021.9689758715066,1032.7828119936955,1033.236499263645,1046.004691791734,1054.5360947381703,1060.465104696942,1063.0859879889706,1069.0327803514679,1081.869546943973,1089.4598825891528,1095.5271940352136,1096.5241716743242,1109.754447485501,1112.0073979441086,1119.4199781574455,1117.841320728036,1127.504590392552,1132.1879383267549,1143.2220565868959,1140.6460411963085,1145.8360940330151,1151.0176624638023,1168.2996507990515,1181.838855665077,1187.5005073066552,1197.184135353504,1203.5862086328634,1212.7371338877324,1213.1618791731673,1218.6084192345866,1227.039421950069,1237.1033999436775,1236.7127407417634,1238.043717540705,1242.1126721625683,1248.8636900980716,1252.723453247033,1259.2573631937032,1270.1819951000246,1277.6602022559673,1283.305077116732,1288.541494110425,1293.7198634953636,1306.7133413428621,1316.153925770229,1322.5901862729186,1324.8539408665897,1327.625856244701,1333.6970727649395,1337.4460352836072,1338.4680199902675,1342.1167882580346,1349.0486358265546,1354.524044726814,1356.7479965037978,1354.524274975276,1358.0958714115595,1362.9409822027342,1366.4506095636218,1368.8488921302414,1371.2944664714735,1363.0088551185124,1350.2053322009458,1343.1983903189666,1345.4695568782201,1347.664688222471,1353.0276450589622,1359.8593910332781,1373.0243334176648,1386.4709109741868,1399.264591085937,1409.0950968636605,1421.2692462750044,1442.667896031351,1472.7324774547194,1510.1253732615237,1549.4918195478099,1591.6734366761316,1624.154276,1652.9476228922306,1670.5535495439228,1684.2653147791975,1691.2030693729134,1696.9293162996262,1704.4057427342764,1712.3245189385436,1723.3656396142724,1734.118226242682,1742.5508709299643,1742.238343775839,1739.5039879786696,1730.687034073461,1726.447488267628,1724.5718517872574,1726.204607739961,1733.6455989766328,1739.1452054708648,1740.2185128335072,1734.4084547298353,1722.984993968759,1709.9686502514476,1701.9118122257748,1699.6998727081827,1703.0996339277046,1706.4119916546992,1708.735253315834,1710.6534690532335
